,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,energy
2313,1.0,0.2016328,0.045903094,0.0152414525,0.0046265544,0.00017497197,0.004629015,0.0007018068,0.01017288,0.00035353654,0.00051189616,0.000116542404,0.0004664201,3.528009e-05,0.00011666732,3.5355763e-05,7.0754206e-05,5.3455983e-06,1.7866552e-06,3.53973e-05,1.7869821e-06,0.0015374883,0.0002333602,0.00023360648,3.5627352e-05,2.6861564e-06,3.565721e-05,1.0802993e-05,0.000513698,2.7392718e-06,-40.48269
2314,1.0,0.20375204,0.046816304,0.015566256,0.004770952,0.00018231859,0.0047679655,0.00072937086,0.010382382,0.00036838747,0.000528486,0.00012153686,0.00048583452,3.7147784e-05,0.00012138319,3.717348e-05,7.430844e-05,5.670832e-06,1.8901744e-06,3.7128884e-05,1.8912618e-06,0.0015861986,0.0002431829,0.00024288186,3.7555154e-05,2.8646512e-06,3.7504546e-05,1.1460476e-05,0.000529233,2.9214127e-06,-40.48247
2315,1.0,0.20581502,0.04776953,0.015881246,0.004920799,0.00019043956,0.004910888,0.00075781095,0.01059733,0.00038542715,0.0005445146,0.00012669909,0.0005057527,3.919532e-05,0.00012618791,3.9066937e-05,7.798803e-05,6.019092e-06,1.996119e-06,3.891391e-05,1.9976926e-06,0.0016350549,0.0002536234,0.00025260606,3.974703e-05,3.0781168e-06,3.9579667e-05,1.2180655e-05,0.00054603466,3.1529023e-06,-40.481594
2316,1.0,0.20685416,0.04834611,0.01603788,0.005006866,0.00019540523,0.004993728,0.000774479,0.010712886,0.00039757788,0.00055238523,0.00012956317,0.0005169131,4.0420386e-05,0.00012889285,4.014956e-05,8.0105085e-05,6.2234894e-06,2.0564567e-06,3.9949566e-05,2.0579118e-06,0.0016603464,0.0002596518,0.00025827458,4.1237912e-05,3.2235932e-06,4.1002728e-05,1.2652963e-05,0.0005556587,3.3447875e-06,-40.48057
2317,1.0,0.20625788,0.04826581,0.015946826,0.004982656,0.00019442946,0.0049725478,0.0007709645,0.01064866,0.0003988006,0.00054775004,0.0001285286,0.00051313423,4.010261e-05,0.00012802365,3.983089e-05,7.950865e-05,6.169238e-06,2.039412e-06,3.9677958e-05,2.0402204e-06,0.0016459086,0.0002575206,0.00025644564,4.1218875e-05,3.2150576e-06,4.103689e-05,1.2633857e-05,0.0005504615,3.399519e-06,-40.480286
2318,1.0,0.20437932,0.04757908,0.015662411,0.0048624645,0.0001881129,0.0048617157,0.0007495897,0.010446085,0.0003883636,0.0005333975,0.00012421524,0.0004968057,3.8446386e-05,0.00012418217,3.830899e-05,7.659729e-05,5.892303e-06,1.9567217e-06,3.8294358e-05,1.9564648e-06,0.0016008804,0.00024855102,0.0002484641,3.9689923e-05,3.0579358e-06,3.9683568e-05,1.2140623e-05,0.0005340833,3.2794246e-06,-40.480774
2319,1.0,0.20226118,0.046626396,0.015340045,0.004710522,0.00017993429,0.0047201877,0.00072137715,0.010229494,0.0003713979,0.00051704503,0.00011896531,0.00047683067,3.639372e-05,0.00011945504,3.640449e-05,7.2955496e-05,5.546103e-06,1.85279e-06,3.6546604e-05,1.8512173e-06,0.0015515607,0.00023799436,0.0002389701,3.747647e-05,2.8435845e-06,3.764291e-05,1.1430989e-05,0.0005174689,3.0423728e-06,-40.481438
2320,1.0,0.20082211,0.045823216,0.015119101,0.0045943893,0.00017366766,0.0046079257,0.0006983931,0.010091321,0.00035564566,0.0005057381,0.000115122566,0.00046186883,3.4876306e-05,0.00011581444,3.49563e-05,7.0136215e-05,5.283635e-06,1.7709283e-06,3.5160247e-05,1.7690281e-06,0.0015190354,0.00023054113,0.00023187563,3.5604575e-05,2.674376e-06,3.5816953e-05,1.0815477e-05,0.00050752494,2.8069776e-06,-40.48201
2321,1.0,0.20049909,0.045486085,0.015068852,0.0045555388,0.00017159269,0.00456438,0.0006890358,0.0100621795,0.00034772692,0.0005031367,0.00011401186,0.00045694498,3.4404176e-05,0.00011446626,3.4466266e-05,6.908323e-05,5.193671e-06,1.7382982e-06,3.4601555e-05,1.7376537e-06,0.0015118807,0.00022841265,0.0002292765,3.4793677e-05,2.611409e-06,3.4925255e-05,1.05263425e-05,0.00050557737,2.6789849e-06,-40.482525
2322,1.0,0.20134717,0.045751363,0.01519907,0.0046053147,0.00017419121,0.004606593,0.0006969365,0.010142543,0.00035093178,0.0005098023,0.000115866984,0.00046358028,3.507291e-05,0.00011593091,3.5070305e-05,7.0164635e-05,5.30053e-06,1.7674074e-06,3.5091252e-05,1.7676406e-06,0.0015308829,0.00023195287,0.00023208231,3.5321267e-05,2.6689554e-06,3.5337853e-05,1.0679591e-05,0.0005112895,2.707061e-06,-40.482845
2323,1.0,0.20311224,0.046531063,0.015468784,0.0047253794,0.00018034998,0.004725649,0.000720035,0.010317016,0.00036436995,0.00052353565,0.00011995543,0.00047985592,3.663129e-05,0.00011996758,3.655752e-05,7.312613e-05,5.569151e-06,1.853049e-06,3.6564274e-05,1.852016e-06,0.0015712924,0.00024001554,0.0002400462,3.700446e-05,2.8227248e-06,3.7003534e-05,1.1250495e-05,0.00052421994,2.8813008e-06,-40.48258
2324,1.0,0.20511849,0.04749212,0.015773328,0.0048662694,0.00018755348,0.0048752427,0.0007490712,0.01052694,0.0003822522,0.00053894543,0.0001246215,0.00049941207,3.8470687e-05,0.00012507522,3.833834e-05,7.6826014e-05,5.8961223e-06,1.96241e-06,3.8484e-05,1.9596907e-06,0.0016185646,0.0002495068,0.00025043992,3.9136063e-05,3.01119e-06,3.9270933e-05,1.2016434e-05,0.00054070627,3.126344e-06,-40.481632
2325,1.0,0.2063579,0.048155904,0.015962077,0.0049605225,0.0001925565,0.0049768286,0.0007694321,0.010659426,0.0003950138,0.00054852705,0.00012770169,0.0005124403,3.9735554e-05,0.00012852628,3.95655e-05,7.9384e-05,6.1263513e-06,2.0393409e-06,3.9828912e-05,2.036886e-06,0.0016483194,0.00025579944,0.00025751488,4.0627892e-05,3.146381e-06,4.0886276e-05,1.2571319e-05,0.0005513374,3.3045471e-06,-40.480713
2326,1.0,0.20616245,0.04818284,0.015934488,0.0049616457,0.00019301077,0.004971847,0.00077010284,0.010633981,0.000395359,0.000547233,0.000127707,0.0005118377,3.9791572e-05,0.00012822417,3.9614362e-05,7.937615e-05,6.140056e-06,2.040663e-06,3.9775765e-05,2.0395848e-06,0.0016433941,0.00025565334,0.00025672207,4.0669747e-05,3.1597513e-06,4.0838448e-05,1.2584882e-05,0.00054893346,3.3048898e-06,-40.480526
